SurveyNumber	SubjectId	ChoiceSet	Route	Origin	OriginCityCode	OriginCityName	Destination	DestinationCityCode	DestinationCityName	DepartureDate	DepartureDay	DepartureTime	ReturnDate	ReturnDay	ReturnTime	Duration	FirstSearchDate	SearchDate	SearchDay	DaysFromDeparture	SideStepReturnCustomer	RouteGroup	OriginGMT	DestinationGMT	TimeZoneChanges	Direction	FlyingTime	LocalFlyingTime	Distance	BadOD	q01_OwnFlight	q02_TripPurpose	q03_WhoPays	q04_Reimbursed	q05_MostAttractive	q06_LeastAttractive	q07_CancelTrip	q08_OtherMode	q09_RoundTrips	q10_RoundTripsForOD	q11_DepartureOrArrivalIsImportant	q12_IdealDepTime	q13_IdealArrTime	q14_PartySize	q15_Age	q16_Income	q17_Gender	q18_ZipCode	q19_Occupation	q20_Education	AirlineFirstFlight_1	AirlineFirstFlight_2	AirlineFirstFlight_3	AirlineSecondFlight_1	AirlineSecondFlight_2	AirlineSecondFlight_3	AirplaneFirstFlight_1	AirplaneFirstFlight_2	AirplaneFirstFlight_3	AirplaneSecondFlight_1	AirplaneSecondFlight_2	AirplaneSecondFlight_3	DepartureTimeHours_1	DepartureTimeHours_2	DepartureTimeHours_3	DepartureTimeMins_1	DepartureTimeMins_2	DepartureTimeMins_3	StopTime_1	StopTime_2	StopTime_3	ArrivalTimeHours_1	ArrivalTimeHours_2	ArrivalTimeHours_3	ArrivalTimeMins_1	ArrivalTimeMins_2	ArrivalTimeMins_3	FlyingTimeHours_1	FlyingTimeHours_2	FlyingTimeHours_3	FlyingTimeMins_1	FlyingTimeMins_2	FlyingTimeMins_3	TripTimeHours_1	TripTimeHours_2	TripTimeHours_3	TripTimeMins_1	TripTimeMins_2	TripTimeMins_3	Legroom_1	Legroom_2	Legroom_3	OneWayFare_1	OneWayFare_2	OneWayFare_3	Fare_1	Fare_2	Fare_3	BestAlternative_1	BestAlternative_2	BestAlternative_3	WorstAlternative_1	WorstAlternative_2	WorstAlternative_3	TripPurpose	WhoIsPaying	Reimbursed
5	1	38	0	0	0	0	1	1	1	16542	5	0	16549	5	1	8	16334	16386	3	156	1	1	300	360	1	0	277	217	1737	0	1	2	1	2	3	2	2	99	1	-1	2	-1	480	2	3.5	9	1	0	2	6	5	6	3	-1	-1	2	2	3	7	-1	8	7	7	9	9	420	540	540	0	2	1	10.6167	14.1167	13.6167	637	847	817	4.61667	5.11667	5.11667	277	307	307	4.61667	6.11667	5.61667	277	367	337	2	3	4	231	231	231	835	835	730	0	0	1	0	1	0	2	1	2
9	2	77	1	2	2	2	3	3	3	16344	3	2	16346	5	2	3	16334	16356	1	-12	1	1	480	480	0	1	152	152	955	0	1	2	1	2	2	1	2	99	21	-1	2	-1	540	1	3.5	10	1	1	1	6	3	4	5	-1	-1	1	8	8	2	-1	8	1	7.5	15	12	450	900	720	0	1	3	10.0333	18.5333	16.5333	602	1112	992	2.53333	3.03333	3.03333	152	182	182	2.53333	3.53333	4.53333	152	212	272	2	2	3	116	116	116	315	315	350	0	1	0	1	0	0	2	1	2
57	3	191	1	2	2	2	3	3	3	16359	4	1	16361	6	1	3	16334	16334	0	25	0	1	480	480	0	1	152	152	955	0	1	2	1	2	2	1	1	4	5	-1	1	-1	-1	2	3.5	6	1	2	2	6	5	9	2	-1	-1	6	8	5	5	-1	6	6	7.5	9	12	450	540	720	0	3	4	10.0333	13.5333	17.0333	602	812	1022	2.53333	3.03333	3.03333	152	182	182	2.53333	4.53333	5.03333	152	272	302	3	1	4	116	116	116	195	160	170	0	1	0	1	0	0	2	1	2
87	4	48	2	4	4	4	5	5	5	16360	5	1	16362	0	3	3	16334	16363	1	-3	1	1	480	480	0	1	58	58	226	0	1	2	3	0	3	2	2	99	4	-1	1	630	-1	2	6	12	2	3	2	6	4	3	7	-1	-1	6	7	4	6	-1	6	8	18	18	12	1080	1080	720	0	4	1	18.9667	21.4667	13.9667	1138	1288	838	0.966667	1.46667	1.46667	58	88	88	0.966667	3.46667	1.96667	58	208	118	3	3	1	69	69	69	135	125	140	0	0	1	0	1	0	2	3	0
123	5	83	3	6	7	6	5	5	5	16380	4	4	16384	1	5	5	16334	16348	0	32	1	1	300	480	3	0	258	78	1760	0	1	2	1	2	1	2	2	99	6	-1	0	-1	-1	3	5	10	2	4	5	7	7	1	4	-1	-1	3	3	2	2	-1	3	6	10.5	15	15	630	900	900	0	3	2	11.8	18.3	17.8	708	1098	1068	4.3	4.8	4.8	258	288	288	4.3	6.3	5.8	258	378	348	3	2	3	125	125	125	270	300	300	1	0	0	0	1	0	2	1	2
142	6	122	4	8	8	7	9	9	8	16358	3	2	16361	6	2	4	16334	16334	0	24	0	1	480	300	-3	2	274	454	2123	0	1	4	1	2	1	2	2	99	6	-1	1	1425	-1	1	3.5	7	2	5	5	5	3	6	6	-1	-1	3	6	2	7	-1	5	2	7	13	7	420	780	420	0	2	3	14.5667	22.0667	16.5667	874	1324	994	4.56667	5.06667	5.06667	274	304	304	4.56667	6.06667	6.56667	274	364	394	3	1	4	241	241	241	400	330	400	1	0	0	0	1	0	4	1	2
171	7	27	5	10	11	9	12	12	10	16352	4	1	16356	1	1	5	16334	16334	0	18	0	1	300	360	1	0	221	161	1456	0	1	2	1	2	1	2	2	99	5	-1	0	-1	-1	1	2	99	2	6	99	3	3	1	3	-1	-1	1	4	4	6	-1	6	8	12	16.5	10.5	720	990	630	0	2	4	14.6833	20.6833	15.6833	881	1241	941	3.68333	4.18333	4.18333	221	251	251	3.68333	5.18333	6.18333	221	311	371	4	4	4	261	261	261	720	555	590	1	0	0	0	1	0	2	1	2
241	8	167	6	13	13	11	14	15	12	16390	0	1	16407	3	1	18	16334	16334	0	56	0	1	360	300	-1	2	188	248	1304	0	1	2	1	2	1	3	1	4	4	-1	2	-1	720	1	6	5	1	7	2	6	5	2	4	-1	-1	5	6	6	4	-1	1	8	8	9	8	480	540	480	0	4	4	12.1333	15.6333	14.6333	728	938	878	3.13333	3.63333	3.63333	188	218	218	3.13333	5.63333	5.63333	188	338	338	2	2	3	131	131	131	355	355	475	1	0	0	0	0	1	2	1	2
256	9	230	7	16	16	13	17	18	14	16347	6	1	-1	-1	6	-1	16334	16334	0	13	0	1	480	300	-3	2	299	479	2436	0	1	2	1	2	2	3	1	4	10	-1	1	420	-1	3	3.5	10	1	8	1	6	7	2	6	-1	-1	4	7	8	1	-1	3	5	11	10	11	660	600	660	0	1	4	18.9833	18.9833	21.4833	1139	1139	1289	4.98333	5.48333	5.48333	299	329	329	4.98333	5.98333	7.48333	299	359	449	4	2	4	385	385	385	665	520	550	0	1	0	0	0	1	2	1	2
273	10	200	8	19	20	15	16	16	13	16380	4	1	16387	4	1	8	16334	16395	5	-15	1	1	360	480	2	0	270	150	1855	0	1	4	1	1	3	1	2	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	3	3	2	-1	-1	7	7	2	1	-1	2	6	7.5	10.5	7.5	450	630	450	0	2	4	10	14.5	12.5	600	870	750	4.5	5	5	270	300	300	4.5	6	7	270	360	420	2	3	1	230	230	230	380	365	415	0	0	1	1	0	0	4	1	1
281	11	23	1	2	2	2	3	3	3	16380	4	0	16380	4	0	1	16334	16334	0	46	0	1	480	480	0	1	152	152	955	0	1	4	1	2	1	2	2	99	15	-1	2	-1	540	-1	-1	-1	-1	9	-1	-1	5	8	2	-1	-1	6	5	7	3	-1	8	1	10.5	18	9	630	1080	540	0	1	1	13.0333	21.5333	12.5333	782	1292	752	2.53333	3.03333	3.03333	152	182	182	2.53333	3.53333	3.53333	152	212	212	4	2	1	116	116	116	300	370	300	1	0	0	0	1	0	4	1	2
323	12	158	3	6	7	6	5	5	5	16399	2	1	16403	6	1	5	16334	16334	0	65	0	1	300	480	3	0	258	78	1760	0	1	2	1	2	1	3	2	99	3	-1	1	1140	-1	1	2	4	2	10	2	6	7	4	1	-1	-1	3	6	7	6	-1	7	2	15	16.5	9	900	990	540	0	4	1	16.3	20.3	11.3	978	1218	678	4.3	4.8	4.8	258	288	288	4.3	6.8	5.3	258	408	318	1	4	4	125	125	125	375	450	395	1	0	0	0	0	1	2	1	2
